Record_ID,Address,Postal_Code,X,Y,Fixed_Unit_Sequence,Sector,Demand,Service_Time,Extra_Time,Zone_Priority,zoneType,Route,Sequence
1633193,Tulolantie 8 B 17,84100,24.55033378,64.0737047,7,84100232,1,0.004666667,0,84100232,N,8410023,1480
1633194,Tulolantie 8 A 1,84100,24.55061802,64.07373642,1,84100232,1,0.004666667,0,84100232,N,8410023,1300
1633195,Tulolantie 8 A 2,84100,24.55061802,64.07373642,2,84100232,1,0.004666667,0,84100232,N,8410023,1310
1633196,Tulolantie 8 A 3,84100,24.55061802,64.07373642,3,84100232,1,0.004666667,0,84100232,N,8410023,1320
1633197,Tulolantie 8 A 4,84100,24.55061802,64.07373642,4,84100232,1,0.004666667,0,84100232,N,8410023,1330
1633198,Tulolantie 8 A 5,84100,24.55061802,64.07373642,5,84100232,1,0.004666667,0,84100232,N,8410023,1340
1633199,Tulolantie 8 A 6,84100,24.55061802,64.07373642,6,84100232,1,0.004666667,0,84100232,N,8410023,1350
1633200,Tulolantie 8 A 7,84100,24.55061802,64.07373642,7,84100232,1,0.004666667,0,84100232,N,8410023,1360
1633201,Tulolantie 8 A 8,84100,24.55061802,64.07373642,8,84100232,1,0.004666667,0,84100232,N,8410023,1370
627391,Kotikartano 1 B 3,84100,24.54530398,64.07378144,4,84100233,1,0.004666667,0,84100233,N,8410023,2480
627392,Kotikartano 1 B 4,84100,24.54530398,64.07378144,5,84100233,1,0.004666667,0,84100233,N,8410023,2490
627393,Kotikartano 1 B 5,84100,24.54530398,64.07378144,6,84100233,1,0.004666667,0,84100233,N,8410023,2500
627394,Kotikartano 1 B 6,84100,24.54530398,64.07378144,7,84100233,1,0.004666667,0,84100233,N,8410023,2510
627395,Kotikartano 1 B 10,84100,24.54530398,64.07378144,8,84100233,1,0.004666667,0,84100233,N,8410023,2520
627396,Kotikartano 1 B 11,84100,24.54530398,64.07378144,9,84100233,1,0.004666667,0,84100233,N,8410023,2530
427384,Tulolantie 9 C 19,84100,24.54839297,64.07292704,4,84100231,1,0.004666667,0,84100231,N,8410023,970
427385,Tulolantie 9 C 20,84100,24.54839297,64.07292704,5,84100231,1,0.004666667,0,84100231,N,8410023,980
427386,Tulolantie 9 C 21,84100,24.54839297,64.07292704,6,84100231,1,0.004666667,0,84100231,N,8410023,990
427387,Tulolantie 9 C 22,84100,24.54839297,64.07292704,7,84100231,1,0.004666667,0,84100231,N,8410023,1000
427359,Tulolantie 7 B 9,84100,24.54779376,64.07321312,1,84100231,1,0.004666667,0,84100231,N,8410023,870
427360,Tulolantie 7 B 10,84100,24.54779376,64.07321312,2,84100231,1,0.004666667,0,84100231,N,8410023,880
427361,Tulolantie 7 B 11,84100,24.54779376,64.07321312,3,84100231,1,0.004666667,0,84100231,N,8410023,890
427362,Tulolantie 7 B 12,84100,24.54779376,64.07321312,4,84100231,1,0.004666667,0,84100231,N,8410023,900
427363,Tulolantie 7 B 13,84100,24.54779376,64.07321312,5,84100231,1,0.004666667,0,84100231,N,8410023,910
427364,Tulolantie 7 B 14,84100,24.54779376,64.07321312,6,84100231,1,0.004666667,0,84100231,N,8410023,920
427365,Tulolantie 7 B 15,84100,24.54779376,64.07321312,7,84100231,1,0.004666667,0,84100231,N,8410023,930
427366,Tulolantie 7 A 1,84100,24.54819688,64.07329172,1,84100231,1,0.004666667,0,84100231,N,8410023,790
427367,Tulolantie 7 A 2,84100,24.54819688,64.07329172,2,84100231,1,0.004666667,0,84100231,N,8410023,800
427368,Tulolantie 7 A 3,84100,24.54819688,64.07329172,3,84100231,1,0.004666667,0,84100231,N,8410023,810
427369,Tulolantie 7 A 4,84100,24.54819688,64.07329172,4,84100231,1,0.004666667,0,84100231,N,8410023,820
427370,Tulolantie 7 A 5,84100,24.54819688,64.07329172,5,84100231,1,0.004666667,0,84100231,N,8410023,830
427371,Tulolantie 7 A 6,84100,24.54819688,64.07329172,6,84100231,1,0.004666667,0,84100231,N,8410023,840
427372,Tulolantie 7 A 7,84100,24.54819688,64.07329172,7,84100231,1,0.004666667,0,84100231,N,8410023,850
427373,Tulolantie 7 A 8,84100,24.54819688,64.07329172,8,84100231,1,0.004666667,0,84100231,N,8410023,860
427318,Suksitie 5 C 16,84100,24.54829921,64.07352681,1,84100231,1,0.004666667,0,84100231,N,8410023,570
427319,Suksitie 5 C 17,84100,24.54829921,64.07352681,2,84100231,1,0.004666667,0,84100231,N,8410023,580
427320,Suksitie 5 C 18,84100,24.54829921,64.07352681,3,84100231,1,0.004666667,0,84100231,N,8410023,590
427321,Suksitie 5 C 19,84100,24.54829921,64.07352681,4,84100231,1,0.004666667,0,84100231,N,8410023,600
427322,Suksitie 5 C 20,84100,24.54829921,64.07352681,5,84100231,1,0.004666667,0,84100231,N,8410023,610
427323,Suksitie 5 C 21,84100,24.54829921,64.07352681,6,84100231,1,0.004666667,0,84100231,N,8410023,620
427324,Suksitie 5 C 22,84100,24.54829921,64.07352681,7,84100231,1,0.004666667,0,84100231,N,8410023,630
427325,Suksitie 5 B 8,84100,24.54820392,64.07367778,1,84100231,1,0.004666667,0,84100231,N,8410023,640
427326,Suksitie 5 B 9,84100,24.54820392,64.07367778,2,84100231,1,0.004666667,0,84100231,N,8410023,650
427327,Suksitie 5 B 10,84100,24.54820392,64.07367778,3,84100231,1,0.004666667,0,84100231,N,8410023,660
427328,Suksitie 5 B 11,84100,24.54820392,64.07367778,4,84100231,1,0.004666667,0,84100231,N,8410023,670
427329,Suksitie 5 B 12,84100,24.54820392,64.07367778,5,84100231,1,0.004666667,0,84100231,N,8410023,680
576290,Kotikartano 1 A 9,84100,24.54489839,64.07419644,11,84100233,1,0.004666667,0,84100233,N,8410023,2690
576291,Kotikartano 1 A 8,84100,24.54489839,64.07419644,12,84100233,1,0.004666667,0,84100233,N,8410023,2700
627388,Kotikartano 1 B 7,84100,24.54530398,64.07378144,1,84100233,1,0.004666667,0.003,84100233,N,8410023,2450
627389,Kotikartano 1 B 1,84100,24.54530398,64.07378144,2,84100233,1,0.004666667,0,84100233,N,8410023,2460
627390,Kotikartano 1 B 2,84100,24.54530398,64.07378144,3,84100233,1,0.004666667,0,84100233,N,8410023,2470
3957566,Kotikartano 1 B 12,84100,24.54530398,64.07378144,10,84100233,1,0.004666667,0,84100233,N,8410023,2540
627397,Kotikartano 1 B 13,84100,24.54530398,64.07378144,11,84100233,1,0.004666667,0,84100233,N,8410023,2550
627398,Kotikartano 1 B 14,84100,24.54530398,64.07378144,12,84100233,1,0.004666667,0,84100233,N,8410023,2560
627400,Kotikartano 1 B 8,84100,24.54530398,64.07378144,13,84100233,1,0.004666667,0,84100233,N,8410023,2570
627401,Kotikartano 1 B 9,84100,24.54530398,64.07378144,14,84100233,1,0.004666667,0,84100233,N,8410023,2580
481954,Suksitie 1 A 1,84100,24.54628194,64.07361844,1,84100233,1,0.004666667,0.003,84100233,N,8410023,2300
481955,Suksitie 1 A 2,84100,24.54628194,64.07361844,2,84100233,1,0.004666667,0,84100233,N,8410023,2310
481956,Suksitie 1 A 3,84100,24.54628194,64.07361844,3,84100233,1,0.004666667,0,84100233,N,8410023,2320
481957,Suksitie 1 A 4,84100,24.54628194,64.07361844,4,84100233,1,0.004666667,0,84100233,N,8410023,2330
481958,Suksitie 1 A 5,84100,24.54628194,64.07361844,5,84100233,1,0.004666667,0,84100233,N,8410023,2340
481959,Suksitie 1 A 6,84100,24.54628194,64.07361844,6,84100233,1,0.004666667,0,84100233,N,8410023,2350
481960,Suksitie 1 A 7,84100,24.54628194,64.07361844,7,84100233,1,0.004666667,0,84100233,N,8410023,2360
481961,Suksitie 1 B 8,84100,24.54587803,64.0735488,1,84100233,1,0.004666667,0.003,84100233,N,8410023,2370
481962,Suksitie 1 B 9,84100,24.54587803,64.0735488,2,84100233,1,0.004666667,0,84100233,N,8410023,2380
481963,Suksitie 1 B 10,84100,24.54587803,64.0735488,3,84100233,1,0.004666667,0,84100233,N,8410023,2390
481964,Suksitie 1 B 11,84100,24.54587803,64.0735488,4,84100233,1,0.004666667,0,84100233,N,8410023,2400
481965,Suksitie 1 B 12,84100,24.54587803,64.0735488,5,84100233,1,0.004666667,0,84100233,N,8410023,2410
481966,Suksitie 1 B 13,84100,24.54587803,64.0735488,6,84100233,1,0.004666667,0,84100233,N,8410023,2420
481967,Suksitie 1 B 14,84100,24.54587803,64.0735488,7,84100233,1,0.004666667,0,84100233,N,8410023,2430
481968,Suksitie 1 B 15,84100,24.54587803,64.0735488,8,84100233,1,0.004666667,0,84100233,N,8410023,2440
576402,Ratakatu 8 B 8,84100,24.54576862,64.07339437,1,84100234,1,0.004666667,0,84100234,N,8410023,3450
576403,Ratakatu 8 B 9,84100,24.54576862,64.07339437,2,84100234,1,0.004666667,0,84100234,N,8410023,3460
576404,Ratakatu 8 B 10,84100,24.54576862,64.07339437,3,84100234,1,0.004666667,0,84100234,N,8410023,3470
576405,Ratakatu 8 B 11,84100,24.54576862,64.07339437,4,84100234,1,0.004666667,0,84100234,N,8410023,3480
424833,Savontie 1318,84880,24.72016446,64.01357113,2,8410024,1,0.001416667,0,8410024,N,8410024,3370
424832,Savontie 1316,84880,24.72016446,64.01357113,3,8410024,1,0.001416667,0,8410024,N,8410024,3380
424835,Kariniementie 6,84880,24.71773399,64.01352397,1,8410024,1,0.001416667,0.003,8410024,N,8410024,810
424836,Kariniementie 7,84880,24.71773399,64.01352397,2,8410024,1,0.001416667,0,8410024,N,8410024,820
424837,Kariniementie 5,84880,24.71773399,64.01352397,3,8410024,1,0.001416667,0,8410024,N,8410024,830
424838,Kariniementie 35,84880,24.71491461,64.01147825,1,8410024,1,0.001416667,0.003,8410024,N,8410024,840
424872,Kariniementie 106,84880,24.7130923,64.00400046,1,8410024,1,0.001416667,0.003,8410024,N,8410024,860
424867,Kariniementie 121,84880,24.7130923,64.00400046,2,8410024,1,0.001416667,0,8410024,N,8410024,870
482416,Kotikartano 3 A 2,84100,24.54694718,64.07421306,2,84100232,1,0.004666667,0,84100232,N,8410023,1500
482417,Kotikartano 3 A 3,84100,24.54694718,64.07421306,3,84100232,1,0.004666667,0,84100232,N,8410023,1510
482418,Kotikartano 3 A 5,84100,24.54694718,64.07421306,4,84100232,1,0.004666667,0,84100232,N,8410023,1520
482419,Kotikartano 3 A 4,84100,24.54694718,64.07421306,5,84100232,1,0.004666667,0,84100232,N,8410023,1530
482420,Kotikartano 3 A 9,84100,24.54694718,64.07421306,6,84100232,1,0.004666667,0,84100232,N,8410023,1540
482422,Kotikartano 3 A 6,84100,24.54694718,64.07421306,7,84100232,1,0.004666667,0,84100232,N,8410023,1550
482423,Kotikartano 3 A 7,84100,24.54694718,64.07421306,8,84100232,1,0.004666667,0,84100232,N,8410023,1560
482424,Kotikartano 3 A 8,84100,24.54694718,64.07421306,9,84100232,1,0.004666667,0,84100232,N,8410023,1570
482428,Kotikartano 3 B 13,84100,24.54678573,64.07441678,1,84100232,1,0.004666667,0,84100232,N,8410023,1580
482430,Kotikartano 3 B 17,84100,24.54678573,64.07441678,2,84100232,1,0.004666667,0,84100232,N,8410023,1590
482421,Kotikartano 3 B 16,84100,24.54678573,64.07441678,3,84100232,1,0.004666667,0,84100232,N,8410023,1600
4328043,Kotikartano 3 B 15,84100,24.54678573,64.07441678,4,84100232,1,0.004666667,0,84100232,N,8410023,1610
482431,Kotikartano 3 B 10,84100,24.54678573,64.07441678,5,84100232,1,0.004666667,0,84100232,N,8410023,1620
482432,Kotikartano 3 B 12,84100,24.54678573,64.07441678,6,84100232,1,0.004666667,0,84100232,N,8410023,1630
482433,Kotikartano 3 B 14,84100,24.54678573,64.07441678,7,84100232,1,0.004666667,0,84100232,N,8410023,1640
482434,Kotikartano 3 B 11,84100,24.54678573,64.07441678,8,84100232,1,0.004666667,0,84100232,N,8410023,1650
482435,Kotikartano 3 C 18,84100,24.54660933,64.07455741,1,84100232,1,0.004666667,0.003,84100232,N,8410023,2010
482436,Kotikartano 3 C 23,84100,24.54660933,64.07455741,2,84100232,1,0.004666667,0,84100232,N,8410023,2020
482437,Kotikartano 3 C 22,84100,24.54660933,64.07455741,3,84100232,1,0.004666667,0,84100232,N,8410023,2030
482429,Kotikartano 3 C 21,84100,24.54660933,64.07455741,4,84100232,1,0.004666667,0,84100232,N,8410023,2040
482426,Kotikartano 3 C 20,84100,24.54660933,64.07455741,5,84100232,1,0.004666667,0,84100232,N,8410023,2050
482427,Kotikartano 3 C 19,84100,24.54660933,64.07455741,6,84100232,1,0.004666667,0,84100232,N,8410023,2060
482438,Kotikartano 3 C 26,84100,24.54660933,64.07455741,7,84100232,1,0.004666667,0,84100232,N,8410023,2070
482439,Kotikartano 3 C 25,84100,24.54660933,64.07455741,8,84100232,1,0.004666667,0,84100232,N,8410023,2080
482425,Kotikartano 3 C 24,84100,24.54660933,64.07455741,9,84100232,1,0.004666667,0,84100232,N,8410023,2090
3750462,Kotikartano 4,84100,24.54714871,64.07448573,1,84100232,1,0.004666667,0,84100232,N,8410023,1660
482445,Kotikartano 4 A 1,84100,24.54714871,64.07448573,2,84100232,1,0.004666667,0,84100232,N,8410023,1670
482446,Kotikartano 4 A 2,84100,24.54714871,64.07448573,3,84100232,1,0.004666667,0,84100232,N,8410023,1680
4931551,Kotikartano 4 A 3,84100,24.54714871,64.07448573,4,84100232,1,0.004666667,0,84100232,N,8410023,1690
482448,Kotikartano 4 A 4,84100,24.54714871,64.07448573,5,84100232,1,0.004666667,0,84100232,N,8410023,1700
482449,Kotikartano 4 A 5,84100,24.54714871,64.07448573,6,84100232,1,0.004666667,0,84100232,N,8410023,1710
482450,Kotikartano 4 A 6,84100,24.54714871,64.07448573,7,84100232,1,0.004666667,0,84100232,N,8410023,1720
482451,Kotikartano 4 A 7,84100,24.54714871,64.07448573,8,84100232,1,0.004666667,0,84100232,N,8410023,1730
482452,Kotikartano 4 A 8,84100,24.54714871,64.07448573,9,84100232,1,0.004666667,0,84100232,N,8410023,1740
1633202,Tulolantie 8 A 9,84100,24.55061802,64.07373642,9,84100232,1,0.004666667,0,84100232,N,8410023,1380
1633203,Tulolantie 8 A 10,84100,24.55061802,64.07373642,10,84100232,1,0.004666667,0,84100232,N,8410023,1390
1633204,Tulolantie 8 A 11,84100,24.55061802,64.07373642,11,84100232,1,0.004666667,0,84100232,N,8410023,1400
1633205,Tulolantie 8 A 12,84100,24.55061802,64.07373642,12,84100232,1,0.004666667,0,84100232,N,8410023,1410
