Reittitunnus	Nimi	Japi_id	Pono	Jakelukohde	Elementtinumero	KRD_Vyohyke	I_koordinatti	P_koordinatti	Japityyppi	Matkajapille	Hissi	Kerros	jnro	Jakti Internal Sequence
6210010	Härsiläntie 9 H 31	3490716	62100	2702119	726998	3	3297283	6991493	4071	0			1280	13
6210010	Härsiläntie 9 H 32	3490715	62100	2702119	726998	3	3297283	6991493	4071	0			1290	14
6210010	Härsiläntie 15 I 35	4056288	62100	1086426	726998	3	3297283	6991493	4071	0			1310	15
6210010	Härsiläntie 15 I 36	4056289	62100	1086426	726998	3	3297283	6991493	4071	0			1320	16
6210010	Härsiläntie 15 I 37	4056290	62100	1086426	726998	3	3297283	6991493	4071	0			1330	17
6210010	Härsiläntie 15 I 33	4056292	62100	1086426	726998	3	3297283	6991493	4071	0			1340	18
6210010	Härsiläntie 15 I 38	4056291	62100	1086426	726998	3	3297283	6991493	4071	0			1350	19
6210010	Härsiläntie 15 I 34	4055473	62100	1086426	726998	3	3297283	6991493	4071	0			1360	20
6210010	Härsiläntie 11 A 1	3490747	62100	2702120	726998	3	3297295	6991497	4071	0			1380	1
6210010	Härsiläntie 11 A 2	3490734	62100	2702120	726998	3	3297295	6991497	4071	0			1390	2
6210010	Härsiläntie 11 A 3	3490733	62100	2702120	726998	3	3297295	6991497	4071	0			1400	3
6210010	Härsiläntie 11 A 4	3490732	62100	2702120	726998	3	3297295	6991497	4071	0			1410	4
6210010	Härsiläntie 11 A 5	3490730	62100	2702120	726998	3	3297295	6991497	4071	0			1420	5
6210010	Härsiläntie 11 A 6	3490729	62100	2702120	726998	3	3297295	6991497	4071	0			1430	6
6210010	Härsiläntie 11 B 7	3490746	62100	2702120	726998	3	3297295	6991497	4071	0			1440	7
6210010	Härsiläntie 11 B 8	3490745	62100	2702120	726998	3	3297295	6991497	4071	0			1450	8
6210010	Härsiläntie 11 B 9	3490744	62100	2702120	726998	3	3297295	6991497	4071	0			1460	9
6210010	Härsiläntie 11 B 10	3490743	62100	2702120	726998	3	3297295	6991497	4071	0			1470	10
6210010	Härsiläntie 11 B 11	3490742	62100	2702120	726998	3	3297295	6991497	4071	0			1480	11
6210010	Härsiläntie 11 B 12	3490741	62100	2702120	726998	3	3297295	6991497	4071	0			1490	12
6210010	Härsiläntie 11 C 13	3490740	62100	2702120	726998	3	3297295	6991497	4071	0			1500	13
6210010	Härsiläntie 11 C 14	3490739	62100	2702120	726998	3	3297295	6991497	4071	0			1510	14
6210010	Härsiläntie 11 D 15	4542493	62100	2702120	726998	3	3297295	6991497	4071	0			1520	15
6210010	Härsiläntie 11 D 16	3490738	62100	2702120	726998	3	3297295	6991497	4071	0			1530	16
6210010	Härsiläntie 11 E 17	3490737	62100	2702120	726998	3	3297295	6991497	4071	0			1540	17
6210010	Härsiläntie 11 E 18	3490736	62100	2702120	726998	3	3297295	6991497	4071	0			1550	18
6210010	Härsiläntie 12	3998231	62100	2912239	726998	3	3297232	6991465	5009	0			1570	1
6210010	Härsiläntie 12	2333745	62100	1086425	726998	3	3297232	6991465	5009	0			1590	2
6210010	Härsiläntie 12	2333746	62100	1086425	726998	3	3297232	6991465	5009	0			1600	3
6210010	Härsiläntie 8	2333755	62100	1086429	726998	3	3297259	6991422	4071	0			1620	1
6210010	Härsiläntie 2	437921	62100	186324	726998	3	3297290	6991291	4076	0			1640	1
6210010	Härsiläntie 2 as 1	5375441	62100	3547931	726998	3	3297257	6991294	4071	0			1660	1
6210010	Härsiläntie 2 as 2	5414750	62100	3547931	726998	3	3297257	6991294	4071	0			1670	2
6210010	Härsiläntie 2 as 3	5809069	62100	3547931	726998	3	3297257	6991294	4071	0			1680	3
6210010	Härsiläntie 2 as 4	5809070	62100	3547931	726998	3	3297257	6991294	4071	0			1690	4
6210010	Kuoppalantie 2	437922	62100	186325	726998	3	3297296	6991257	4071	0			1710	1
6210010	Kuoppalantie 4	437923	62100	186326	726998	3	3297266	6991257	4071	0			1730	1
6210010	Kuoppalantie 3	437924	62100	186327	726998	3	3297236	6991240	4071	0			1750	1
6210010	Kuoppalantie 6 A 1	437925	62100	186328	726998	3	3297251	6991226	4071	0			1770	1
6210010	Kuoppalantie 6 A 2	437926	62100	186328	726998	3	3297251	6991226	4071	0			1780	2
6210010	Kuoppalantie 6 A 3	437927	62100	186328	726998	3	3297251	6991226	4071	0			1790	3
6210010	Kuoppalantie 6 B 4	437928	62100	186328	726998	3	3297251	6991226	4071	0			1800	4
6210010	Kuoppalantie 6 B 5	437929	62100	186328	726998	3	3297251	6991226	4071	0			1810	5
6210010	Kuoppalantie 6 B 6	437930	62100	186328	726998	3	3297251	6991226	4071	0			1820	6
6210010	Kuoppalantie 6 C 7	437931	62100	186328	726998	3	3297251	6991226	4071	0			1830	7
6210010	Kuoppalantie 6 C 8	437932	62100	186328	726998	3	3297251	6991226	4071	0			1840	8
